rank,title,subject,link
8.9,末路狂花,没有了退路，只好飞向自由。,https://movie.douban.com/subject/1291992/
9.1,海洋,大海啊，不全是水。,https://movie.douban.com/subject/3443389/
8.6,再次出发之纽约遇见你,爱我就给我看你的播放列表。,https://movie.douban.com/subject/6874403/
8.6,谍影重重,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,https://movie.douban.com/subject/1304102/
8.5,火星救援,,https://movie.douban.com/subject/25864085/
8.6,穿越时空的少女,爱上未来的你。 ,https://movie.douban.com/subject/1937946/
8.6,朗读者,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,https://movie.douban.com/subject/2213597/
8.5,香水,一个单凭体香达到高潮的男人。,https://movie.douban.com/subject/1760622/
8.9,地球上的星星,天使保护事件始末。,https://movie.douban.com/subject/2363506/
8.8,千年女优,爱情是一场没有尽头的虚幻追逐。,https://movie.douban.com/subject/1307394/
9.0,我爱你,你要相信，这世上真的有爱存在，不管在什么年纪 ,https://movie.douban.com/subject/5908478/
8.5,完美陌生人,来啊，互相伤害啊！,https://movie.douban.com/subject/26614893/
8.3,驴得水,过去的如果就让它过去了，未来只会越来越糟！,https://movie.douban.com/subject/25921812/
8.8,聚焦,新闻人的理性求真。,https://movie.douban.com/subject/25954475/
8.7,浪潮,世界离独裁只有五天。,https://movie.douban.com/subject/2297265/
